omega = 2.6 	 gamma = 0.11 	 theta_0 = 0.57
time 	 angle
0.0 	 0.57
0.1 	 0.54
0.2 	 0.48
0.3 	 0.39
0.4 	 0.28
0.5 	 0.14
0.6 	 0.01
0.7 	 -0.13
0.8 	 -0.25
0.9 	 -0.36
1.0 	 -0.44
1.1 	 -0.49
1.2 	 -0.5
1.3 	 -0.48
1.4 	 -0.43
1.5 	 -0.35
1.6 	 -0.25
1.7 	 -0.14
1.8 	 -0.02
1.9 	 0.1
2.0 	 0.21
2.1 	 0.31
2.2 	 0.38
2.3 	 0.42
2.4 	 0.44
2.5 	 0.42
2.6 	 0.38
2.7 	 0.31
2.8 	 0.23
2.9 	 0.13
3.0 	 0.02
3.1 	 -0.08
3.2 	 -0.18
3.3 	 -0.26
3.4 	 -0.33
3.5 	 -0.37
3.6 	 -0.38
3.7 	 -0.37
3.8 	 -0.34
3.9 	 -0.28
4.0 	 -0.21
4.1 	 -0.12
4.2 	 -0.03
4.3 	 0.07
4.4 	 0.15
4.5 	 0.23
4.6 	 0.28
4.7 	 0.32
4.8 	 0.33
4.9 	 0.33
5.0 	 0.3
5.1 	 0.25
5.2 	 0.19
5.3 	 0.11
5.4 	 0.03
5.5 	 -0.05
5.6 	 -0.13
5.7 	 -0.19
5.8 	 -0.24
5.9 	 -0.28
6.0 	 -0.29
6.1 	 -0.29
6.2 	 -0.26
6.3 	 -0.22
6.4 	 -0.17
6.5 	 -0.1
6.6 	 -0.03
6.7 	 0.04
6.8 	 0.11
6.9 	 0.16
7.0 	 0.21
7.1 	 0.24
7.2 	 0.26
7.3 	 0.25
7.4 	 0.23
7.5 	 0.2
7.6 	 0.15
7.7 	 0.1
7.8 	 0.03
7.9 	 -0.03
8.0 	 -0.09
8.1 	 -0.14
8.2 	 -0.18
8.3 	 -0.21
8.4 	 -0.22
8.5 	 -0.22
8.6 	 -0.21
8.7 	 -0.18
8.8 	 -0.14
8.9 	 -0.09
9.0 	 -0.03
9.1 	 0.02
9.2 	 0.07
9.3 	 0.12
9.4 	 0.16
9.5 	 0.18
9.6 	 0.2
9.7 	 0.2
9.8 	 0.18
9.9 	 0.16
10.0 	 0.12
