time 	 angle
0.0 	 0.54
0.1 	 0.51
0.2 	 0.43
0.3 	 0.3
0.4 	 0.16
0.5 	 -0.0
0.6 	 -0.16
0.7 	 -0.3
0.8 	 -0.4
0.9 	 -0.47
1.0 	 -0.48
1.1 	 -0.45
1.2 	 -0.38
1.3 	 -0.27
1.4 	 -0.13
1.5 	 0.01
1.6 	 0.15
1.7 	 0.27
1.8 	 0.37
1.9 	 0.42
2.0 	 0.43
2.1 	 0.4
2.2 	 0.33
2.3 	 0.23
2.4 	 0.11
2.5 	 -0.02
2.6 	 -0.14
2.7 	 -0.25
2.8 	 -0.33
2.9 	 -0.38
3.0 	 -0.39
3.1 	 -0.36
3.2 	 -0.29
3.3 	 -0.2
3.4 	 -0.09
3.5 	 0.02
3.6 	 0.13
3.7 	 0.23
3.8 	 0.3
3.9 	 0.34
4.0 	 0.35
4.1 	 0.32
4.2 	 0.26
4.3 	 0.18
4.4 	 0.08
4.5 	 -0.03
4.6 	 -0.13
4.7 	 -0.21
4.8 	 -0.27
4.9 	 -0.31
5.0 	 -0.31
5.1 	 -0.28
5.2 	 -0.23
5.3 	 -0.15
5.4 	 -0.06
5.5 	 0.03
5.6 	 0.12
5.7 	 0.19
5.8 	 0.25
5.9 	 0.28
6.0 	 0.28
6.1 	 0.25
6.2 	 0.2
6.3 	 0.13
6.4 	 0.05
6.5 	 -0.03
6.6 	 -0.11
6.7 	 -0.18
6.8 	 -0.22
6.9 	 -0.25
7.0 	 -0.25
7.1 	 -0.22
7.2 	 -0.18
7.3 	 -0.11
7.4 	 -0.04
7.5 	 0.03
7.6 	 0.1
7.7 	 0.16
7.8 	 0.2
7.9 	 0.22
8.0 	 0.22
8.1 	 0.2
8.2 	 0.16
8.3 	 0.1
8.4 	 0.03
8.5 	 -0.03
8.6 	 -0.1
8.7 	 -0.15
8.8 	 -0.18
8.9 	 -0.2
9.0 	 -0.2
9.1 	 -0.18
9.2 	 -0.14
9.3 	 -0.09
9.4 	 -0.03
9.5 	 0.03
9.6 	 0.09
9.7 	 0.13
9.8 	 0.17
9.9 	 0.18
10.0 	 0.18
