"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-01","0.00",,"59","33"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-02","0.23",,"53","49"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-03","0.01",,"54","47"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-04","0.18",,"61","39"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-05","0.00",,"57","34"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-06","0.06",,"57","36"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-07","0.00",,"61","42"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-08","0.05",,"62","36"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-09","0.00",,"60","36"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-10","0.00",,"57","35"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-11","0.00",,"62","33"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-12","0.00",,"60","42"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-13","0.00",,"64","44"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-14","0.00",,"67","41"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-15","0.00",,"67","39"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-16","0.00",,"74","39"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-17","0.00",,"73","37"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-18","0.00",,"80","44"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-19","0.00",,"69","53"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-20","0.00",,"67","34"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-21","0.00",,"60","30"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-22","0.21",,"56","43"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-23","0.00",,"60","35"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-24","0.10",,"52","30"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-25","0.00",,"56","32"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-26","0.66",,"51","25"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-27","0.65",,"51","46"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-28","0.41",,"57","44"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-29","0.23",,"55","41"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-30","0.00",,"59","41"
"USW00093227","NAPA CO AIRPORT, CA US","2021-01-31","0.01",,"65","44"
"USW00093227","NAPA CO AIRPORT, CA US","2021-02-01","0.22",,"62","38"
"USW00093227","NAPA CO AIRPORT, CA US","2021-02-02","0.10",,"63","43"
"USW00093227","NAPA CO AIRPORT, CA US","2021-02-03","0.00",,"59","31"
